F0: 220 | Conf: 0 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 220 | Conf: 0 | Shift: 0 | Voiced: yes | Hard: yes | Scale: 0
F0: 220 | Conf: 0 | Shift: 0 | Voiced: yes | Hard: yes | Scale: 0
F0: 220 | Conf: 0 | Shift: 0 | Voiced: no | Hard: yes | Scale: 0
F0: 220 | Conf: 0 | Shift: 0 | Voiced: yes | Hard: yes | Scale: 0
F0: 220 | Conf: 0 | Shift: 0 | Voiced: yes | Hard: yes | Scale: 0
F0: 220 | Conf: 0 | Shift: 0 | Voiced: yes | Hard: yes | Scale: 0
F0: 220 | Conf: 0 | Shift: 0 | Voiced: yes | Hard: yes | Scale: 1
F0: 220 | Conf: 0 | Shift: 0 | Voiced: no | Hard: yes | Scale: 1
F0: 220 | Conf: 0 | Shift: 0 | Voiced: yes | Hard: yes | Scale: 1
F0: 164.814 | Conf: 0 | Shift: 0 | Voiced: yes | Hard: yes | Scale: 5
F0: 164.814 | Conf: 0 | Shift: 0 | Voiced: yes | Hard: yes | Scale: 5
F0: 164.814 | Conf: 0 | Shift: 0 | Voiced: yes | Hard: yes | Scale: 5
F0: 164.814 | Conf: 0 | Shift: 0 | Voiced: yes | Hard: yes | Scale: 6
F0: 164.814 | Conf: 0 | Shift: 0 | Voiced: yes | Hard: yes | Scale: 6
F0: 146.832 | Conf: 0 | Shift: 0 | Voiced: yes | Hard: yes | Scale: 6
F0: 146.832 | Conf: 0 | Shift: 0 | Voiced: yes | Hard: yes | Scale: 6
F0: 146.832 | Conf: 0 | Shift: 0 | Voiced: yes | Hard: yes | Scale: 6
F0: 146.832 | Conf: 0 | Shift: 0 | Voiced: yes | Hard: yes | Scale: 6
F0: 146.832 | Conf: 0 | Shift: 0 | Voiced: yes | Hard: yes | Scale: 6
F0: 146.832 | Conf: 0 | Shift: 0 | Voiced: yes | Hard: yes | Scale: 6
F0: 146.832 | Conf: 0 | Shift: 0 | Voiced: yes | Hard: yes | Scale: 6
F0: 146.832 | Conf: 0 | Shift: 0 | Voiced: yes | Hard: yes | Scale: 6
F0: 146.832 | Conf: 0 | Shift: 0 | Voiced: yes | Hard: yes | Scale: 6
F0: 146.832 | Conf: 0 | Shift: 0 | Voiced: yes | Hard: yes | Scale: 6
F0: 146.832 | Conf: 0 | Shift: 0 | Voiced: yes | Hard: yes | Scale: 6
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: yes | Scale: 6
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: yes | Scale: 6
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: yes | Scale: 6
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: yes | Scale: 6
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: yes | Scale: 6
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 220 | Conf: 0 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 220 | Conf: 0 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 220 | Conf: 0 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 220 | Conf: 0 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 220 | Conf: 0 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 220 | Conf: 0 | Shift: 0 | Voiced: no | Hard: no | Scale: 1
F0: 220 | Conf: 0 | Shift: 0 | Voiced: no | Hard: no | Scale: 1
F0: 220 | Conf: 0 | Shift: 0 | Voiced: no | Hard: no | Scale: 1
F0: 0 | Conf: 0.882112 | Shift: 0.00356438 | Voiced: no | Hard: no | Scale: 2
F0: 0 | Conf: 0.882112 | Shift: -0.00664703 | Voiced: no | Hard: no | Scale: 2
F0: 0 | Conf: 0.882112 | Shift: -0.00137465 | Voiced: no | Hard: no | Scale: 2
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
F0: 0 | Conf: 0.882112 | Shift: 0 | Voiced: no | Hard: no | Scale: 0
